DATE_TIME,Parker release (cfs),Colorado River above Imperial Dam -- USGS Provisional Data flow cfs (SDI=4958),CRIT Final Order,CRIT DIVERSION,Dif,PVID Final Order,PVID DIVERSION,Dif,CRIR - Total Return flow cfs ,PVID Return Flows above Taylor Ferry-return flow cfs ,PVID Return Flows below Taylor Ferry return flow cfs 
20020402,13585,12000,,,,,,,264,70,500
20020403,14505,12100,,,,,,,273,60,520
20020404,10481,12100,,,,,,,271,50,520
20020405,14998,11500,,,,,,,287,40,540
20020406,14002,11100,,,,,,,281,50,600
20020407,14015,10900,,,,,,,270,80,580
20020408,13950,11500,,,,,,,268,50,620
20020409,13958,11800,,,,,,,295,30,580
20020410,12484,11900,,,,,,,299,50,580
20020411,10978,11800,,,,,,,301,60,540
20020412,12755,11200,,,,,,,284,70,530
20020413,13806,10200,,,,,,,286,70,530
20020414,13990,10000,,,,,,,273,60,560
20020415,14515,11200,,,,,,,279,100,548
20020416,15012,11600,,,,,,,279,80,518
20020417,15415,12000,,,,,,,250,50,500
20020418,11355,12300,,,,,,,263,70,530
20020419,14491,12000,,,,,,,260,50,590
20020420,14157,11400,,,,,,,295,40,580
20020421,13804,10900,,,,,,,273,50,590
20020422,14252,11500,,,,,,,247,50,640
20020423,14944,11800,,,,,,,246,40,610
20020424,14495,11600,,,,,,,255,90,600
20020425,10877,12000,,,,,,,264,60,590
20020426,13516,11800,,,,,,,258,40,560
20020427,14379,11000,,,,,,,272,30,580
20020428,13561,9780,,,,,,,279,50,630
20020429,13852,11000,,,,,,,278,60,650
20020430,15145,11400,,,,,,,276,70,570
20020501,12947,10600,,,,,,,278,70,570
20020502,11606,11100,,,,,,,238,40,540
20020503,11660,11900,,,,,,,274,40,520
20020504,12403,10800,,,,,,,280,80,540
20020505,13172,9920,,,,,,,297,70,540
20020506,13457,10100,,,,,,,331,60,560
20020507,13961,10600,,,,,,,297,50,560
20020508,13452,10500,,,,,,,293,30,570
20020509,12010,10800,,,,,,,300,50,590
20020510,12964,11000,,,,,,,337,30,650
20020511,13980,10600,,,,,,,332,35,690
20020512,13167,10700,,,,,,,312,60,640
20020513,13329,10900,,,,,,,329,70,650
20020514,12987,11300,,,,,,,293,71,590
20020515,12560,11100,,,,,,,303,50,580
20020516,9339,10600,,,,,,,298,60,590
20020517,12871,10400,,,,,,,304,70,590
20020518,12736,9120,,,,,,,284,50,570
20020519,12776,9010,,,,,,,294,50,580
20020520,12812,9880,,,,,,,295,50,590
20020521,13491,10200,,,,,,,302,50,590
20020522,12448,9750,,,,,,,318,50,530
20020523,8772,10300,,,,,,,324,90,630
20020524,10750,10200,,,,,,,355,90,650
20020525,11168,8900,,,,,,,337,60,700
20020526,11551,8010,,,,,,,338,60,720
20020527,12396,8970,,,,,,,360,75,680
20020528,14608,9660,,,,,,,328,60,630
20020529,13323,9850,,,,,,,334,20,650
20020530,9552,10000,,,,,,,314,10,580
20020531,12602,10100,,,,,,,325,40,590
20020601,14202,9440,,,,,,,377,60,590
20020602,13487,8960,,,,,,,407,50,530
20020603,13576,10600,,,,,,,418,50,660
20020604,12248,11000,,,,,,,362,70,630
20020605,12588,10600,,,,,,,421,40,570
20020606,8792,10500,,,,,,,403,50,570
20020607,13961,10400,,,,,,,417,50,590
20020608,13178,9360,,,,,,,405,60,620
20020609,13285,9040,,,,,,,395,60,610
20020610,13883,10200,,,,,,,395,70,575
20020611,13775,10300,,,,,,,399,60,570
20020612,12763,10400,,,,,,,389,50,570
20020613,8678,10600,,,,,,,373,50,560
20020614,13411,10700,,,,,,,415,50,600
20020615,12191,8840,,,,,,,425,40,600
20020616,11995,8690,,,,,,,417,30,590
20020617,11661,9750,,,,,,,400,40,590
20020618,13794,9980,,,,,,,393,40,750
20020619,12024,10100,,,,,,,382,50,550
20020620,11486,10000,,,,,,,331,60,530
20020621,12657,9980,,,,,,,335,50,510
20020622,13287,9070,,,,,,,328,80,540
20020623,12758,8610,,,,,,,348,50,580
20020624,12784,10100,,,,,,,350,50,530
20020625,13292,10600,,,,,,,347,30,550
20020626,12952,10600,,,,,,,346,40,510
20020627,12286,10100,,,,,,,311,40,550
20020628,11419,10300,,,,,,,329,40,600
20020629,13885,9180,,,,,,,334,30,580
20020630,13489,8690,,,,,,,364,50,600
20020701,13299,10100,,,,,,,354,60,640
20020702,12494,10600,,,,,,,328,70,615
20020703,14033,10700,,,,,,,363,70,590
20020704,10472,10600,,,,,,,343,50,620
20020705,14182,10400,,,,,,,318,45,570
20020706,15194,9660,,,,,,,326,45,570
20020707,13798,9590,,,,,,,333,60,660
20020708,14560,11200,,,,,,,360,35,610
20020709,15000,10900,,,,,,,331,40,580
20020710,14373,11100,,,,,,,345,60,610
20020711,10151,11400,,,,,,,325,60,620
20020712,13822,11500,,,,,,,373,40,660
20020713,13160,10600,,,,,,,389,50,670
20020714,13197,9590,,,,,,,364,50,680
20020715,13599,10700,,,,,,,366,50,650
20020716,13876,10600,,,,,,,335,70,640
20020717,11959,10600,,,,,,,334,70,580
20020718,10079,10900,,,,,,,346,30,560
20020719,12269,10500,,,,,,,396,30,590
20020720,13166,9500,,,,,,,416,30,620
20020721,12719,8960,,,,,,,439,40,600
20020722,12767,10100,,,,,,,441,40,630
20020723,13189,10600,,,,,,,411,40,600
20020724,14231,10400,,,,,,,418,30,530
20020725,13576,10800,,,,,,,432,30,600
20020726,13791,11000,,,,,,,427,30,610
20020727,13550,9830,,,,,,,429,30,630
20020728,13618,9830,,,,,,,426,60,650
20020729,13090,10700,,,,,,,451,70,670
20020730,13101,10600,,,,,,,429,50,620
20020731,12777,10700,,,,,,,446,50,590
20020801,9388,10700,,,,,,,416,90,620
20020802,13553,10200,,,,,,,366,40,620
20020803,12125,9140,,,,,,,338,50,600
20020804,11959,8540,,,,,,,321,40,640
20020805,12784,9490,,,,,,,304,20,630
20020806,12386,9400,,,,,,,322,40,630
20020807,11789,9340,,,,,,,301,70,580
20020808,9603,9810,,,,,,,291,80,600
20020809,10405,9810,,,,,,,311,80,610
20020810,11791,8950,,,,,,,320,80,600
20020811,11992,8110,,,,,,,324,70,610
20020812,12589,9400,,,,,,,338,60,620
20020813,12776,9820,,,,,,,319,50,900
20020814,11975,9710,,,,,,,311,30,560
20020815,8980,9730,,,,,,,303,30,560
20020816,11780,9670,,,,,,,321,20,550
20020817,11743,9070,,,,,,,352,30,560
20020818,11759,8520,,,,,,,345,50,590
20020819,11786,9330,,,,,,,3331,50,700
20020820,12449,9360,,,,,,,349,40,640
20020821,11801,9170,,,,,,,353,40,610
20020822,10001,8800,,,,,,,397,40,600
20020823,10995,8530,,,,,,,353,30,610
20020824,11279,8740,,,,,,,359,60,570
20020825,11266,7980,,,,,,,347,40,630
20020826,9431,8630,,,,,,,330,20,660
20020827,9982,9180,,,,,,,325,50,640
20020828,11510,9050,,,,,,,341,70,640
20020829,9680,9230,,,,,,,342,60,680
20020830,11516,8760,,,,,,,336,30,610
20020831,11980,7950,,,,,,,305,20,690
20020901,11462,7480,,,,,,,339,90,680
20020902,10786,8480,,,,,,,348,50,580
20020903,10464,8990,,,,,,,343,60,650
20020904,12215,8690,,,,,,,336,70,640
20020905,7969,8940,,,,,,,338,40,550
20020906,8967,8520,,,,,,,325,30,650
20020907,10387,8420,,,,,,,369,60,750
20020908,9962,7710,,,,,,,394,80,730
20020909,7644,8110,,,,,,,368,40,760
20020910,6473,9190,,,,,,,359,40,690
20020911,6950,9140,,,,,,,342,50,650
20020912,8010,7530,,,,,,,327,60,670
20020913,6478,6910,,,,,,,324,40,680
20020914,6869,6980,,,,,,,306,20,600
20020915,6991,7010,,,,,,,324,30,590
20020916,8501,7110,,,,,,,331,50,590
20020917,12757,7970,,,,,,,343,60,590
20020918,12910,7680,,,,,,,347,30,545
20020919,10703,7860,,,,,,,334,50,580
20020920,10976,8530,,,,,,,359,60,570
20020921,12809,8490,,,,,,,326,60,630
20020922,12455,8120,,,,,,,328,50,590
20020923,10934,9260,,,,,,,327,60,630
20020924,9714,9780,,,,,,,327,30,650
20020925,9346,10400,,,,,,,346,40,640
20020926,8862,9750,,,,,,,331,80,660
20020927,8929,8740,,,,,,,306,60,600
20020928,10472,7960,,,,,,,302,50,590
20020929,10290,7320,,,,,,,316,50,600
20020930,10199,8570,,,,,,,342,70,600
20021001,9470,8250,,,,,,,369,50,630
20021002,9188,8120,,,,,,,381,40,630
20021003,8177,8200,,,,,,,362,40,640
20021004,8157,7800,,,,,,,353,40,640
20021005,8878,7500,,,,,,,378,50,630
20021006,9486,7060,,,,,,,388,60,670
20021007,10008,7790,,,,,,,397,50,660
20021008,9975,8130,,,,,,,384,50,670
20021009,8943,8280,,,,,,,365,40,580
20021010,7570,8370,,,,,,,377,20,610
20021011,8804,8340,,,,,,,357,60,600
20021012,8968,7390,,,,,,,384,50,570
20021013,9470,6780,,,,,,,374,80,620
20021014,9172,7650,,,,,,,394,60,610
20021015,9288,7800,,,,,,,385,60,620
20021016,9185,7920,,,,,,,390,60,610
20021017,7670,7520,,,,,,,388,40,610
20021018,6978,7480,,,,,,,373,50,610
20021019,8287,7680,,,,,,,378,60,620
20021020,6997,6860,,,,,,,377,70,670
20021021,7379,6950,,,,,,,376,60,660
20021022,6548,7190,,,,,,,378,60,640
20021023,5983,7000,,,,,,,298,50,620
20021024,5777,6820,,,,,,,243,50,650
20021025,8515,6510,,,,,,,265,50,630
20021026,8576,6010,,,,,,,280,40,660
20021027,8460,5540,,,,,,,307,60,710
20021028,8313,6660,,,,,,,316,60,660
20021029,6518,7460,,,,,,,287,50,630
20021030,6034,7470,,,,,,,281,50,620
20021031,5495,7330,,,,,,,300,40,600
20021101,6807,6510,,,,,,,301,70,630
20021102,6767,5970,,,,,,,279,60,570
20021103,6809,5690,,,,,,,284,50,630
20021104,7483,6630,,,,,,,414,70,600
20021105,7033,6550,,,,,,,412,60,620
20021106,5984,6690,,,,,,,283,50,630
20021107,4084,7030,,,,,,,290,70,620
20021108,3995,6500,,,,,,,256,50,630
20021109,6487,6040,,,,,,,270,40,660
20021110,7814,5650,,,,,,,262,40,650
20021111,8925,6580,,,,,,,248,40,620
20021112,10358,6740,,,,,,,262,30,580
20021113,7005,7040,,,,,,,258,20,550
20021114,6909,7340,,,,,,,263,40,610
20021115,7202,7220,,,,,,,246,40,610
20021116,7190,6380,,,,,,,234,30,640
20021117,7468,5770,,,,,,,230,30,640
20021118,7479,6620,,,,,,,229,70,600
20021119,7517,6640,,,,,,,220,30,600
20021120,7274,6670,,,,,,,212,50,590
20021121,4744,6710,,,,,,,212,50,600
20021122,6703,6520,,,,,,,209,50,600
20021123,7941,6400,,,,,,,196,60,610
20021124,7728,5790,,,,,,,211,30,690
20021125,5444,6730,,,,,,,253,50,630
20021126,4329,6820,,,,,,,264,40,570
20021127,3776,6100,,,,,,,249,60,620
20021128,3973,4960,,,,,,,248,60,600
20021129,6316,5400,,,,,,,247,60,580
20021130,5849,5270,,,,,,,245,50,560
20021201,6790,5510,,,,,,,259,40,560
20021202,7379,6140,,,,,,,259,50,570
20021203,7794,5610,,,,,,,269,20,580
20021204,5368,5590,,,,,,,269,20,530
20021205,4658,6050,,,,,,,277,50,550
20021206,4736,6230,,,,,,,387,80,540
20021207,4755,5420,,,,,,,387,80,530
20021208,4764,5480,,,,,,,389,50,550
20021209,4479,5440,,,,,,,387,30,560
20021210,4997,5250,,,,,,,389,40,530
20021211,6076,5240,,,,,,,388,20,540
20021212,5650,5390,,,,,,,,30,540
20021213,5956,5520,,,,,,,271,30,520
20021214,6185,5320,,,,,,,265,20,540
20021215,6549,4930,,,,,,,272,30,500
20021216,6532,5650,,,,,,,317,20,470
20021217,6180,5910,,,,,,,298,40,520
20021218,5760,5880,,,,,,,252,40,490
20021219,3959,5810,,,,,,,,20,480
20021220,4605,5550,,,,,,,,40,520
20021221,4549,5510,,,,,,,,40,530
20021222,3492,4590,,,,,,,,40,480
20021223,3772,5190,,,,,,,,40,500
20021224,4630,4100,,,,,,,258,60,600
20021225,4596,3320,,,,,,,251,40,590
20021226,3508,4520,,,,,,,261,60,570
20021227,5191,4650,,,,,,,231,50,540
20021228,4591,4380,,,,,,,237,40,610
20021229,4290,4470,,,,,,,248,80,660
20021230,4687,5240,,,,,,,256,160,710
20021231,5807,4340,,,,,,,271,70,590
20030101,4888,4330,0,676,676,0,0,0,301,10,510
20030102,4488,4940,0,793,793,0,0,0,269,0,400
20030103,4611,5040,0,867,867,0,0,0,258,0,361
20030104,4899,4870,0,681,681,0,0,0,199,0,340
20030105,5295,4400,0,0,0,0,0,0,275,0,330
20030106,2528,5590,0,0,0,150,0,-150,257,0,310
20030107,5893,5610,0,0,0,450,0,-450,169,0,305
20030108,5771,5670,0,0,0,330,0,-330,153,0,300
20030109,5215,5690,0,0,0,450,0,-450,147,0,300
20030110,4492,5690,0,0,0,420,232,-188,144,0,300
20030111,4515,5610,0,0,0,570,383,-187,143,0,294
20030112,5021,5420,0,0,0,740,297,-443,140,0,290
20030113,5203,5600,0,0,0,540,347,-193,140,0,320
20030114,6566,5830,350,0,-350,700,326,-374,138,0,320
20030115,8638,5790,196,0,-196,720,713,-7,137,0,330
20030116,7379,5920,580,0,-580,900,1030,130,,20,390
20030117,6803,5920,925,0,-925,800,964,164,,40,390
20030118,9178,6230,925,0,-925,1000,977,-23,,40,380
20030119,7650,6480,934,150,-784,980,826,-154,,30,420
20030120,6838,6500,1025,699,-326,950,1100,150,148,40,390
20030121,6539,6140,1000,678,-322,940,1060,120,242,40,430
20030122,5267,6100,1170,517,-653,790,927,137,266,60,420
20030123,5210,6180,1050,629,-421,770,1030,260,213,50,390
20030124,6300,5790,1050,604,-446,880,1010,130,199,40,395
20030125,7424,5500,963,617,-346,970,933,-37,210,60,445
20030126,7511,4980,898,584,-314,900,724,-176,234,50,475
20030127,7639,6000,841,646,-195,700,969,269,259,50,450
20030128,8441,6360,600,774,174,650,1070,420,260,40,560
20030129,6899,6740,530,913,383,890,1100,210,291,40,530
20030130,6293,6970,460,941,481,840,1110,270,303,70,530
20030131,7106,6780,540,861,321,940,1130,190,272,60,550
20030201,8031,6150,500,788,288,970,946,-24,308,60,550
20030202,8135,5540,404,593,189,890,777,-113,308,60,590
20030203,8858,6900,370,563,193,770,871,101,325,40,530
20030204,8513,7240,335,531,196,610,765,155,296,50,510
20030205,8804,7360,315,645,330,830,1120,290,276,70,490
20030206,6991,7240,450,640,190,900,1130,230,278,50,530
20030207,7002,6860,555,442,-113,1010,1100,90,304,20,470
20030208,7801,6210,400,341,-59,1000,1090,90,281,20,470
20030209,7968,6000,500,388,-112,1020,911,-109,280,20,480
20030210,6338,6870,581,511,-70,890,1090,200,290,70,540
20030211,6819,6820,425,623,198,710,1160,450,258,50,550
20030212,5011,6310,460,551,91,900,896,-4,270,50,580
20030213,3835,5610,590,182,-408,950,638,-312,272,60,570
20030214,3815,6140,530,99,-431,990,540,-450,235,30,520
20030215,6922,4780,617,98,-519,910,543,-367,207,50,520
20030216,6171,4770,750,127,-623,800,423,-377,161,40,470
20030217,6221,5120,650,150,-500,840,500,-340,168,30,491
20030218,5084,6320,560,176,-384,770,449,-321,164,50,480
20030219,5047,5930,440,154,-286,980,551,-429,179,50,470
20030220,7050,5850,550,197,-353,1000,586,-414,177,50,465
20030221,8419,6090,700,247,-453,1050,713,-337,157,40,480
20030222,8561,5680,700,366,-334,1050,679,-371,181,50,510
20030223,9204,5750,750,411,-339,1100,563,-537,189,50,460
20030224,7842,7510,756,520,-236,1150,746,-404,187,30,500
20030225,3377,7770,580,370,-210,1100,529,-571,,30,470
20030226,2590,8230,575,238,-337,1050,405,-645,,10,490
20030227,5009,6280,713,273,-440,830,480,-350,,30,470
20030228,10007,5060,606,251,-355,8100,697,-7403,,40,460
20030301,9172,5040,539,170,-369,860,686,-174,,60,450
20030302,8812,5610,654,188,-466,960,642,-318,,30,500
20030303,8817,7070,705,228,-477,1030,884,-146,,50,480
20030304,8865,8330,630,348,-282,900,894,-6,,30,500
20030305,9370,8290,730,612,-118,980,951,-29,,50,480
20030306,10988,9270,815,718,-97,1050,1260,210,,60,450
20030307,10979,9130,712,875,163,1150,1230,80,,30,480
20030308,12955,8590,600,964,364,1180,1240,60,,50,490
20030309,10922,8520,712,662,-50,990,977,-13,,40,480
20030310,11995,10500,600,839,239,1000,1060,60,,50,520
20030311,12955,10500,514,911,397,850,1030,180,,50,490
20030312,8961,10500,550,802,252,830,1300,470,,30,460
20030313,10536,10100,700,733,33,830,1220,390,,50,550
20030314,14512,9550,720,749,29,960,1300,340,,30,560
20030315,12977,9020,575,665,90,960,1210,250,,50,555
20030316,9487,8860,690,359,-331,1090,816,-274,,40,570
20030317,10023,10400,744,269,-475,1100,856,-244,,70,530
20030318,9967,10000,820,392,-428,1040,1030,-10,,80,480
20030319,11951,9210,750,516,-234,1000,1120,120,,50,560
20030320,8459,9490,850,527,-323,1010,1260,250,,30,540
20030321,11458,9530,900,718,-182,1090,1320,230,,40,590
20030322,12429,9420,900,880,-20,1160,1230,70,,50,530
20030323,12339,8850,900,957,57,1230,1040,-190,,20,540
20030324,14485,10900,986,1130,144,1160,1290,130,,45,545
20030325,13194,11300,800,1210,410,1040,1540,500,,50,530
20030326,12817,11300,875,1130,255,1030,1530,500,,70,540
20030327,15502,11200,845,1180,335,950,1620,670,,30,580
20030328,15145,10700,740,1160,420,1100,1750,650,,20,540
20030329,16339,10800,900,1110,210,1200,1640,440,,20,570
20030330,14982,11100,820,993,173,1200,1390,190,,20,550
20030331,15594,12400,680,939,259,1140,1570,430,,,
20030401,16045,12800,638,1110,472,900,1650,750,,40,560
20030402,13912,12300,740,1010,270,1020,1770,750,294,40,600
20030403,12999,12400,743,1230,487,1100,1780,680,266,60,570
20030404,15165,11900,850,1350,500,1000,1880,880,264,50,580
20030405,15215,10700,950,1420,470,1000,1640,640,257,60,600
20030406,15143,11300,950,1380,430,970,1320,350,247,60,600
20030407,13951,12200,908,1190,282,960,1700,740,238,60,590
20030408,13928,12300,745,1130,385,1000,1480,480,228,50,600
20030409,12739,12400,765,1230,465,1100,1620,520,250,50,590
20030410,11433,12000,860,1270,410,1250,1750,500,230,60,530
20030411,16083,11700,925,1160,235,1280,1620,340,257,30,550
20030412,14519,10500,750,1190,440,1300,1690,390,258,50,530
20030413,14981,10100,830,1210,380,1320,1460,140,237,50,590
20030414,14554,11600,900,1040,140,1100,1380,280,261,50,570
20030415,12798,11900,903,1060,157,980,1400,420,257,60,550
20030416,12774,12300,900,1080,180,1250,1420,170,249,50,560
20030417,10687,12300,900,1170,270,1400,1580,180,246,65,590
20030418,11986,11100,1060,1180,120,1480,1620,140,244,60,610
20030419,14496,10400,1100,1040,-60,1420,1300,-120,267,70,610
20030420,13908,10200,980,772,-208,1230,931,-299,290,80,630
20030421,11448,10800,972,763,-209,1200,1410,210,266,60,590
20030422,11951,11700,780,771,-9,1100,1550,450,282,30,600
20030423,11427,11400,840,760,-80,1060,1520,460,260,60,600
20030424,10642,11100,986,850,-136,1100,1590,490,,70,590
20030425,11951,10500,1060,995,-65,1250,1700,450,,60,640
20030426,13514,10000,1104,1050,-54,1300,1520,220,,40,680
20030427,13471,9780,1130,1020,-110,1420,1330,-90,,30,660
20030428,14974,10900,1100,1030,-70,1270,1630,360,,55,645
20030429,14448,11100,1033,1290,257,1000,1640,640,,100,610
20030430,12259,11100,1033,1360,327,1140,1540,400,,70,630
20030501,10392,11000,1035,1420,385,1200,1730,530,,60,620
20030502,11503,10600,1127,1190,63,1200,1750,550,,70,640
20030503,14764,8920,1160,1010,-150,1450,1720,270,,70,640
20030504,12401,9700,1050,969,-81,1480,1400,-80,,50,650
20030505,12206,10100,1186,1110,-76,1420,1620,200,,40,650
20030506,11475,10700,940,1200,260,1200,1620,420,,70,640
20030507,9947,10300,1000,1290,290,1380,1810,430,,80,620
20030508,8121,10200,1100,1300,200,1400,1920,520,,80,610
20030509,11982,9310,1020,1360,340,1580,1840,260,,80,670
20030510,13480,7590,1179,1310,131,1480,1690,210,,140,690
20030511,11969,7310,1028,1230,202,1480,1380,-100,,80,710
20030512,12271,9050,1010,1170,160,1500,1700,200,,100,660
20030513,11840,9610,900,1170,270,1600,1670,70,,90,600
20030514,9882,9750,1190,1230,40,1500,1770,270,,120,560
20030515,7985,9740,1130,1240,110,1500,1840,340,,160,590
20030516,10671,9150,1080,1240,160,1740,1760,20,,60,660
20030517,13826,7890,1114,1160,46,1660,1590,-70,,70,710
20030518,12533,7480,1080,1040,-40,1460,1430,-30,,50,595
20030519,12494,9460,1190,1160,-30,1710,1760,50,,90,700
20030520,12119,9800,1225,1280,55,1670,1830,160,,50,600
20030521,12044,9920,1137,1310,173,1780,1930,150,,70,630
20030522,7958,10000,1140,1310,170,1640,1870,230,,40,680
20030523,10820,9800,1160,1210,50,1590,1820,230,,40,660
20030524,14669,8730,1164,1250,86,1630,1790,160,,50,660
20030525,13462,7880,1073,1110,37,1630,1540,-90,,90,630
20030526,12027,9360,1184,1110,-74,1500,1580,80,,70,640
20030527,11965,10100,1020,1120,100,1360,1600,240,,70,610
20030528,10958,10300,1160,1160,0,1180,1660,480,,80,630
20030529,8494,10100,1160,1230,70,1500,1850,350,,40,680
20030530,8976,9560,1200,1300,100,1420,1850,430,,80,670
20030531,14466,8430,1160,1280,120,1640,1840,200,,90,690
20030601,12962,7630,1551,1230,-321,1650,1540,-110,,100,680
20030602,7949,9190,1500,1240,-260,1500,1790,290,,90,660
20030603,13828,9610,1240,1330,90,1570,1900,330,,60,685
20030604,11998,9670,1240,1280,40,1590,2140,550,,70,660
20030605,10479,9300,1200,1180,-20,1880,2120,240,,50,650
20030606,10795,9840,1215,1180,-35,1810,2210,400,,30,650
20030607,15323,9070,1207,1190,-17,1600,2000,400,,60,720
20030608,12609,8050,1195,1120,-75,1570,1870,300,,60,720
20030609,13986,9710,1435,1100,-335,1630,1970,340,,70,750
20030610,12513,10000,1220,1230,10,1550,1980,430,,70,700
20030611,10476,10200,1155,1260,105,1600,1950,350,,70,720
20030612,9479,10300,1220,1310,90,1500,1940,440,,40,750
20030613,10014,9990,1130,1390,260,1400,1830,430,,90,730
20030614,12006,8750,1130,1380,250,1450,1730,280,,60,730
20030615,12060,7840,1244,1210,-34,1640,1500,-140,,80,740
20030616,13016,9150,1230,1320,90,1400,1760,360,,80,740
20030617,13517,9640,1230,1380,150,1430,1790,360,,87,723
20030618,12404,9900,1023,1450,427,1600,1890,290,,95,729
20030619,11016,10000,1070,1510,440,1790,1920,130,,103,739
20030620,10981,10100,1280,1390,110,1740,2040,300,,90,740
20030621,12514,9190,1170,1260,90,1750,1830,80,,63,734
20030622,12002,8460,1170,1080,-90,1780,1530,-250,,91,801
20030623,12004,9600,1249,1130,-119,0,1550,1550,,93,804
20030624,15383,9760,1100,1140,40,0,1510,1510,,81,790
20030625,10300,9690,1150,1200,50,1760,1600,-160,,53,747
20030626,8605,10100,1300,1310,10,1650,1770,120,,53,760
20030627,11228,10200,1250,887,-363,1630,1660,30,,39,775
20030628,12960,9130,1190,552,-638,1500,1660,160,,27,775
20030629,13009,8560,1000,1200,200,1500,1580,80,,64,792
20030630,15145,10500,1060,1530,470,1500,1630,130,,67,812
20030701,12937,10200,975,1610,635,1400,1770,370,,46,815
20030702,12479,10400,1100,1540,440,1570,1790,220,,46,782
20030703,8458,10100,1132,1480,348,1600,1880,280,,85,673
20030704,10771,9440,1120,1460,340,1780,1670,-110,,78,619
