DATE_TIME,Parker release (cfs),Colorado River above Imperial Dam -- USGS Provisional Data flow cfs (SDI=4958),CRIT Final Order,CRIT DIVERSION,Dif,PVID Final Order,PVID DIVERSION,Dif,CRIT - Total Return flow cfs ,PVID Return Flows above Taylor Ferry-return flow cfs ,PVID Return Flows below Taylor Ferry return flow cfs ,Colorado River below Palo Verde Dam
2002-03-02,11914,9260,,865,,,,246,50,570,10300,
2002-03-03,10019,9510,,822,,,,276,80,595,9920,
2002-03-04,11327,10700,,817,,,,265,60,600,8440,
2002-03-05,11487,9690,,919,,,,270,50,670,9610,
2002-03-06,10974,8900,,898,,,,310,50,620,9630,
2002-03-07,9503,8680,,895,,,,331,40,660,9190,
2002-03-08,10678,9140,,865,,,,320,60,620,8310,
2002-03-09,10982,9020,,795,,,,314,50,580,9140,
2002-03-10,11401,9170,,700,,,,332,60,620,9730,
2002-03-11,11473,9380,,639,,,,305,40,550,10300,
2002-03-12,11481,9400,,786,,,,289,50,510,11000,
2002-03-13,10450,9890,,968,,,,335,50,510,9700,
2002-03-14,10100,10100,,833,,,,327,40,410,7910,
2002-03-15,11475,9630,,803,,,,330,40,480,9100,
2002-03-16,11844,8630,,691,,,,323,50,510,10200,
2002-03-17,11493,9360,,709,,,,344,40,530,10400,
2002-03-18,11494,9680,,669,,,,333,40,540,10200,
2002-03-19,11800,10200,,580,,,,349,50,500,9970,
2002-03-20,11577,10400,,356,,,,259,40,570,10300,
2002-03-21,10023,10500,,383,,,,229,50,570,9670,
2002-03-22,10480,10400,,674,,,,251,50,540,8900,
2002-03-23,13155,9680,,827,,,,255,40,510,10100,
2002-03-24,11479,9400,,832,,,,265,40,550,10500,
2002-03-25,13805,10300,,816,,,,260,30,550,10000,
2002-03-26,12412,10600,,969,,,,268,40,510,11200,
2002-03-27,14047,10900,,924,,,,326,40,540,10700,
2002-03-28,9894,11200,,925,,,,326,40,560,11200,
2002-03-29,13258,10700,,936,,,,321,90,520,9100,
2002-03-30,14874,9960,,864,,,,302,70,550,11900,
2002-03-31,12838,10200,,850,,,,305,50,550,12600,
2002-04-01,14999,11400,,920,,,,355,80,510,11500,
2002-04-02,13585,12000,,912,,,,336,70,500,11700,
2002-04-03,14505,12100,,993,,,,333,60,520,11600,
2002-04-04,10481,12100,,994,,,,297,50,520,11100,
2002-04-05,14998,11500,,991,,,,337,40,540,10100,
2002-04-06,14002,11100,,1020,,,,300,50,600,11800,
2002-04-07,14015,10900,,1000,,,,278,80,580,12100,
2002-04-08,13950,11500,,1010,,,,283,50,620,11700,
2002-04-09,13958,11800,,1030,,,,300,30,580,11400,
2002-04-10,12484,11900,,1010,,,,329,50,580,10800,
2002-04-11,10978,11800,,979,,,,337,60,540,10200,
2002-04-12,12755,11200,,1050,,,,303,70,530,9880,
2002-04-13,13806,10200,,1100,,,,331,70,530,11100,
2002-04-14,13990,10000,,1040,,,,370,60,560,11500,
2002-04-15,14515,11200,,1040,,,,322,100,548,12000,
2002-04-16,15012,11600,,1060,,,,314,80,518,12200,
2002-04-17,15415,12000,,1030,,,,297,50,500,12900,
2002-04-18,11355,12300,,993,,,,278,70,530,11200,
2002-04-19,14491,12000,,954,,,,323,50,590,10600,
2002-04-20,14157,11400,,819,,,,322,40,580,12100,
2002-04-21,13804,10900,,642,,,,323,50,590,12200,
2002-04-22,14252,11500,,841,,,,306,50,640,12100,
2002-04-23,14944,11800,,1050,,,,267,40,610,12300,
2002-04-24,14495,11600,,1120,,,,274,90,600,12200,
2002-04-25,10877,12000,,1270,,,,297,60,590,11800,
2002-04-26,13516,11800,,1280,,,,274,40,560,9380,
2002-04-27,14379,11000,,1280,,,,328,30,580,11800,
2002-04-28,13561,9780,,1220,,,,299,50,630,11400,
2002-04-29,13852,11000,,1260,,,,323,60,650,10500,
2002-04-30,15145,11400,,1220,,,,360,70,570,12700,
2002-05-01,12947,10600,,1140,,,,311,70,570,12000,
2002-05-02,11606,11100,,1140,,,,302,40,540,10200,
2002-05-03,11660,11900,,1190,,,,347,40,520,9670,
2002-05-04,12403,10800,,1100,,,,322,80,540,9730,
2002-05-05,13172,9920,,1080,,,,335,70,540,10900,
2002-05-06,13457,10100,,1190,,,,397,60,560,10900,
2002-05-07,13961,10600,,1250,,,,341,50,560,11400,
2002-05-08,13452,10500,,1200,,,,300,30,570,10900,
2002-05-09,12010,10800,,1230,,,,348,50,590,10300,
2002-05-10,12964,11000,,1180,,,,360,30,650,10500,
2002-05-11,13980,10600,,1150,,,,367,35,690,10800,
2002-05-12,13167,10700,,1020,,,,398,60,640,11400,
2002-05-13,13329,10900,,1060,,,,341,70,650,10800,
2002-05-14,12987,11300,,1170,,,,319,71,590,11000,
2002-05-15,12560,11100,,1180,,,,331,50,580,10400,
2002-05-16,9339,10600,,1250,,,,354,60,590,9680,
2002-05-17,12871,10400,,1220,,,,345,70,590,8000,
2002-05-18,12736,9120,,1230,,,,324,50,570,10200,
2002-05-19,12776,9010,,1230,,,,344,50,580,10500,
2002-05-20,12812,9880,,1180,,,,334,50,590,9930,
2002-05-21,13491,10200,,1240,,,,361,50,590,10400,
2002-05-22,12448,9750,,1180,,,,375,50,530,10500,
2002-05-23,8772,10300,,1200,,,,408,90,630,9360,
2002-05-24,10750,10200,,1150,,,,367,90,650,7100,
2002-05-25,11168,8900,,1110,,,,370,60,700,8310,
2002-05-26,11551,8010,,994,,,,357,60,720,8970,
2002-05-27,12396,8970,,1070,,,,350,75,680,9300,
2002-05-28,14608,9660,,1200,,,,344,60,630,9810,
2002-05-29,13323,9850,,1260,,,,372,20,650,11600,
2002-05-30,9552,10000,,1230,,,,360,10,580,10000,
2002-05-31,12602,10100,,1170,,,,375,40,590,7930,
2002-06-01,14202,9440,,1180,,,,378,60,590,10700,
2002-06-02,13487,8960,,1180,,,,408,50,530,10800,
2002-06-03,13576,10600,,1120,,,,427,50,660,10700,
2002-06-04,12248,11000,,1220,,,,359,70,630,10600,
2002-06-05,12588,10600,,1180,,,,377,40,570,9600,
2002-06-06,8792,10500,,1110,,,,414,50,570,9520,
2002-06-07,13961,10400,,1100,,,,389,50,590,7790,
2002-06-08,13178,9360,,1170,,,,389,60,620,10600,
2002-06-09,13285,9040,,1130,,,,389,60,610,10500,
2002-06-10,13883,10200,,1160,,,,385,70,575,10400,
2002-06-11,13775,10300,,1190,,,,417,60,570,11300,
2002-06-12,12763,10400,,1170,,,,387,50,570,11000,
2002-06-13,8678,10600,,1280,,,,382,50,560,9190,
2002-06-14,13411,10700,,1330,,,,463,50,600,7660,
2002-06-15,12191,8840,,1220,,,,461,40,600,9990,
2002-06-16,11995,8690,,1140,,,,431,30,590,9670,
2002-06-17,11661,9750,,1080,,,,410,40,590,9370,
2002-06-18,13794,9980,,1160,,,,346,40,750,9960,
2002-06-19,12024,10100,,1270,,,,377,50,550,10100,
2002-06-20,11486,10000,,1340,,,,375,60,530,9940,
2002-06-21,12657,9980,,1400,,,,399,50,510,8820,
2002-06-22,13287,9070,,1290,,,,471,80,540,10100,
2002-06-23,12758,8610,,1030,,,,425,50,580,10700,
2002-06-24,12784,10100,,1160,,,,398,50,530,10600,
2002-06-25,13292,10600,,1210,,,,385,30,550,10200,
2002-06-26,12952,10600,,1240,,,,369,40,510,10400,
2002-06-27,12286,10100,,1290,,,,408,40,550,9690,
2002-06-28,11419,10300,,1340,,,,378,40,600,9670,
2002-06-29,13885,9180,,1350,,,,384,30,580,9380,
2002-06-30,13489,8690,,1320,,,,424,50,600,11100,
2002-07-01,13299,10100,,1310,,,,393,60,640,10500,
2002-07-02,12494,10600,,1330,,,,371,70,615,10300,
2002-07-03,14033,10700,,1360,,,,440,70,590,10200,
2002-07-04,10472,10600,,1320,,,,391,50,620,10500,
2002-07-05,14182,10400,,1410,,,,366,45,570,9240,
2002-07-06,15194,9660,,1400,,,,397,45,570,11700,
2002-07-07,13798,9590,,1200,,,,430,60,660,11600,
2002-07-08,14560,11200,,1200,,,,421,35,610,12600,
2002-07-09,15000,10900,,1220,,,,380,40,580,11700,
2002-07-10,14373,11100,,1240,,,,366,60,610,12200,
2002-07-11,10151,11400,,1400,,,,347,60,620,10500,
2002-07-12,13822,11500,,1430,,,,422,40,660,9370,
2002-07-13,13160,10600,,1390,,,,485,50,670,10400,
2002-07-14,13197,9590,,1250,,,,429,50,680,10600,
2002-07-15,13599,10700,,1170,,,,463,50,650,10800,
2002-07-16,13876,10600,,1120,,,,385,70,640,11100,
2002-07-17,11959,10600,,1100,,,,365,70,580,10800,
2002-07-18,10079,10900,,1260,,,,431,30,560,9450,
2002-07-19,12269,10500,,1300,,,,357,30,590,8510,
2002-07-20,13166,9500,,1310,,,,369,30,620,9910,
2002-07-21,12719,8960,,1110,,,,383,40,600,10600,
2002-07-22,12767,10100,,1130,,,,373,40,630,10100,
2002-07-23,13189,10600,,1350,,,,365,40,600,10200,
2002-07-24,14231,10400,,1360,,,,377,30,530,10400,
2002-07-25,13576,10800,,1310,,,,402,30,600,11700,
2002-07-26,13791,11000,,1240,,,,354,30,610,11300,
2002-07-27,13550,9830,,1300,,,,337,30,630,11200,
2002-07-28,13618,9830,,1320,,,,371,60,650,11000,
2002-07-29,13090,10700,,1340,,,,426,70,670,10900,
2002-07-30,13101,10600,,1320,,,,429,50,620,10300,
2002-07-31,12777,10700,,1310,,,,389,50,590,10200,
2002-08-01,9388,10700,,1410,,,,362,90,620,9420,
2002-08-02,13553,10200,,1420,,,,385,40,620,8200,
2002-08-03,12125,9140,,1280,,,,429,50,600,9920,
2002-08-04,11959,8540,,1170,,,,421,40,640,10100,
2002-08-05,12784,9490,,1110,,,,386,20,630,10000,
2002-08-06,12386,9400,,1100,,,,412,40,630,10000,
2002-08-07,11789,9340,,1130,,,,370,70,580,9790,
2002-08-08,9603,9810,,1170,,,,360,80,600,9170,
2002-08-09,10405,9810,,1200,,,,375,80,610,7750,
2002-08-10,11791,8950,,1220,,,,361,80,600,8760,
2002-08-11,11992,8110,,1220,,,,375,70,610,9460,
2002-08-12,12589,9400,,1240,,,,395,60,620,9560,
2002-08-13,12776,9820,,1100,,,,379,50,900,10100,
2002-08-14,11975,9710,,1080,,,,357,30,560,10600,
2002-08-15,8980,9730,,1160,,,,352,30,560,8390,
2002-08-16,11780,9670,,1300,,,,370,20,550,7120,
2002-08-17,11743,9070,,1240,,,,385,30,560,9160,
2002-08-18,11759,8520,,1130,,,,420,50,590,9230,
2002-08-19,11786,9330,,1060,,,,359,50,700,9370,
2002-08-20,12449,9360,,1190,,,,378,40,640,9340,
2002-08-21,11801,9170,,1190,,,,427,40,610,9850,
2002-08-22,10001,8800,,1130,,,,438,40,600,9430,
2002-08-23,10995,8530,,1110,,,,422,30,610,8110,
2002-08-24,11279,8740,,1030,,,,447,60,570,8810,
2002-08-25,11266,7980,,985,,,,383,40,630,9320,
2002-08-26,9431,8630,,1100,,,,380,20,660,8980,
2002-08-27,9982,9180,,1160,,,,335,50,640,7220,
2002-08-28,11510,9050,,1200,,,,365,70,640,7640,
2002-08-29,9680,9230,,1220,,,,397,60,680,8410,
2002-08-30,11516,8760,,1180,,,,400,30,610,7460,
2002-08-31,11980,7950,,1110,,,,380,20,690,9130,
2002-09-01,11462,7480,,993,,,,391,90,680,9720,
2002-09-02,10786,8480,,1040,,,,358,50,580,9640,
2002-09-03,10464,8990,,1020,,,,358,60,650,8610,
2002-09-04,12215,8690,,1070,,,,327,70,640,8390,
2002-09-05,7969,8940,,1080,,,,369,40,550,9630,
2002-09-06,8967,8520,,968,,,,391,30,650,6960,
2002-09-07,10387,8420,,721,,,,439,60,750,7980,
2002-09-08,9962,7710,,563,,,,456,80,730,9480,
2002-09-09,7644,8110,,585,,,,408,40,760,9930,
2002-09-10,6473,9190,,628,,,,404,40,690,7370,
2002-09-11,6950,9140,,521,,,,369,50,650,6440,
2002-09-12,8010,7530,,585,,,,379,60,670,6770,
2002-09-13,6478,6910,,679,,,,327,40,680,7430,
2002-09-14,6869,6980,,737,,,,338,20,600,6160,
2002-09-15,6991,7010,,716,,,,332,30,590,6280,
2002-09-16,8501,7110,,749,,,,316,50,590,5770,
2002-09-17,12757,7970,,876,,,,372,60,590,6740,
2002-09-18,12910,7680,,768,,,,351,30,545,10900,
2002-09-19,10703,7860,,833,,,,353,50,580,10000,
2002-09-20,10976,8530,,830,,,,412,60,570,9440,
2002-09-21,12809,8490,,604,,,,353,60,630,9610,
2002-09-22,12455,8120,,616,,,,324,50,590,11400,
2002-09-23,10934,9260,,796,,,,312,60,630,10800,
2002-09-24,9714,9780,,793,,,,309,30,650,10400,
2002-09-25,9346,10400,,802,,,,362,40,640,7780,
2002-09-26,8862,9750,,814,,,,338,80,660,7520,
2002-09-27,8929,8740,,804,,,,304,60,600,7630,
2002-09-28,10472,7960,,862,,,,324,50,590,7910,
2002-09-29,10290,7320,,895,,,,352,50,600,8920,
2002-09-30,10199,8570,,744,,,,349,70,600,8640,
2002-10-01,9470,8250,,734,,,,295,50,630,8680,
2002-10-02,9188,8120,,784,,,,291,40,630,7830,
2002-10-03,8177,8200,,782,,,,261,40,640,7500,
2002-10-04,8157,7800,,820,,,,294,40,640,6810,
2002-10-05,8878,7500,,773,,,,299,50,630,6730,
2002-10-06,9486,7060,,734,,,,293,60,670,7870,
2002-10-07,10008,7790,,766,,,,303,50,660,8200,
2002-10-08,9975,8130,,758,,,,282,50,670,8850,
2002-10-09,8943,8280,,856,,,,288,40,580,8340,
2002-10-10,7570,8370,,882,,,,299,20,610,7540,
2002-10-11,8804,8340,,850,,,,299,60,600,6440,
2002-10-12,8968,7390,,727,,,,347,50,570,7420,
2002-10-13,9470,6780,,776,,,,357,80,620,8080,
2002-10-14,9172,7650,,778,,,,354,60,610,8250,
2002-10-15,9288,7800,,754,,,,360,60,620,7940,
2002-10-16,9185,7920,,736,,,,364,60,610,7900,
2002-10-17,7670,7520,,698,,,,364,40,610,8070,
2002-10-18,6978,7480,,500,,,,295,50,610,6660,
2002-10-19,8287,7680,,511,,,,335,60,620,6320,
2002-10-20,6997,6860,,507,,,,324,70,670,7600,
2002-10-21,7379,6950,,635,,,,321,60,660,6310,
2002-10-22,6548,7190,,558,,,,332,60,640,6490,
2002-10-23,5983,7000,,556,,,,262,50,620,5620,
2002-10-24,5777,6820,,555,,,,237,50,650,5220,
2002-10-25,8515,6510,,633,,,,259,50,630,4870,
2002-10-26,8576,6010,,596,,,,302,40,660,7320,
2002-10-27,8460,5540,,448,,,,341,60,710,7890,
2002-10-28,8313,6660,,453,,,,374,60,660,7790,
2002-10-29,6518,7460,,440,,,,277,50,630,7570,
2002-10-30,6034,7470,,492,,,,273,50,620,6120,
2002-10-31,5495,7330,,509,,,,265,40,600,5460,
2002-11-01,6807,6510,,508,,,,290,70,630,4890,
2002-11-02,6767,5970,,416,,,,265,60,570,6310,
2002-11-03,6809,5690,,308,,,,296,50,630,6680,
2002-11-04,7483,6630,,407,,,,260,70,600,6550,
2002-11-05,7033,6550,,369,,,,234,60,620,6970,
2002-11-06,5984,6690,,411,,,,237,50,630,6400,
2002-11-07,4084,7030,,428,,,,311,70,620,5610,
2002-11-08,3995,6500,,393,,,,250,50,630,3360,
2002-11-09,6487,6040,,368,,,,262,40,660,4350,
2002-11-10,7814,5650,,315,,,,249,40,650,6220,
2002-11-11,8925,6580,,407,,,,225,40,620,7030,
2002-11-12,10358,6740,,425,,,,257,30,580,8390,
2002-11-13,7005,7040,,503,,,,265,20,550,8650,
2002-11-14,6909,7340,,507,,,,303,40,610,6590,
2002-11-15,7202,7220,,437,,,,243,40,610,6190,
2002-11-16,7190,6380,,342,,,,254,30,640,6710,
2002-11-17,7468,5770,,327,,,,232,30,640,6850,
2002-11-18,7479,6620,,343,,,,228,70,600,7010,
2002-11-19,7517,6640,,416,,,,228,30,600,6850,
2002-11-20,7274,6670,,477,,,,194,50,590,7010,
2002-11-21,4744,6710,,669,,,,223,50,600,6400,
2002-11-22,6703,6520,,524,,,,211,50,600,4290,
2002-11-23,7941,6400,,459,,,,188,60,610,6090,
2002-11-24,7728,5790,,469,,,,215,30,690,7540,
2002-11-25,5444,6730,,532,,,,218,50,630,6630,
2002-11-26,4329,6820,,500,,,,208,40,570,4800,
2002-11-27,3776,6100,,488,,,,202,60,620,3920,
2002-11-28,3973,4960,,436,,,,195,60,600,3340,
2002-11-29,6316,5400,,530,,,,199,60,580,4060,
2002-11-30,5849,5270,,424,,,,248,50,560,5790,
2002-12-01,6790,5510,,323,,,,241,40,560,5760,
2002-12-02,7379,6140,,252,,,,248,50,570,6420,
2002-12-03,7794,5610,,248,,,,247,20,580,7250,
2002-12-04,5368,5590,,244,,,,253,20,530,7090,
2002-12-05,4658,6050,,236,,,,249,50,550,5320,
2002-12-06,4736,6230,,296,,,,205,80,540,5030,
2002-12-07,4755,5420,,272,,,,202,80,530,4660,
2002-12-08,4764,5480,,290,,,,197,50,550,4850,
2002-12-09,4479,5440,,425,,,,229,30,560,4500,
2002-12-10,4997,5250,,475,,,,220,40,530,4020,
2002-12-11,6076,5240,,459,,,,228,20,540,4030,
2002-12-12,5650,5390,,402,,,,217,30,540,4770,
2002-12-13,5956,5520,,523,,,,240,30,520,5460,
2002-12-14,6185,5320,,428,,,,260,20,540,5350,
2002-12-15,6549,4930,,311,,,,257,30,500,5970,
2002-12-16,6532,5650,,186,,,,321,20,470,5830,
2002-12-17,6180,5910,,180,,,,314,40,520,6050,
2002-12-18,5760,5880,,169,,,,233,40,490,5710,
2002-12-19,3959,5810,,203,,,,235,20,480,4530,
2002-12-20,4605,5550,,267,,,,205,40,520,3300,
2002-12-21,4549,5510,,349,,,,221,40,530,4230,
2002-12-22,3492,4590,,454,,,,202,40,480,3400,
2002-12-23,3772,5190,,369,,,,256,40,500,2910,
2002-12-24,4630,4100,,320,,,,242,60,600,3450,
2002-12-25,4596,3320,,251,,,,245,40,590,4500,
2002-12-26,3508,4520,,356,,,,261,60,570,3040,
2002-12-27,5191,4650,,400,,,,200,50,540,2490,
2002-12-28,4591,4380,,465,,,,227,40,610,3930,
2002-12-29,4290,4470,,402,,,,237,80,660,3450,
2002-12-30,4687,5240,,587,,,,239,160,710,5400,
2002-12-31,5807,4340,,609,,,,262,70,590,4750,
2003-01-01,4888,4330,0,676,676,0,0,0,361,10,510,5400
2003-01-02,4488,4940,0,793,793,0,0,0,292,0,400,4730
2003-01-03,4611,5040,0,867,867,0,0,0,299,0,361,4610
2003-01-04,4899,4870,0,681,681,0,0,0,364,0,340,4350
2003-01-05,5295,4400,0,0,0,0,0,0,369,0,330,5140
2003-01-06,2528,5590,0,0,0,150,0,-150,348,0,310,5670
2003-01-07,5893,5610,0,0,0,450,0,-450,214,0,305,5970
2003-01-08,5771,5670,0,0,0,330,0,-330,199,0,300,6580
2003-01-09,5215,5690,0,0,0,450,0,-450,190,0,300,5270
2003-01-10,4492,5690,0,0,0,420,232,-188,179,0,300,5410
2003-01-11,4515,5610,0,0,0,570,383,-187,176,0,294,4260
2003-01-12,5021,5420,0,0,0,740,297,-443,172,0,290,4580
2003-01-13,5203,5600,0,0,0,540,347,-193,170,0,320,4660
2003-01-14,6566,5830,350,0,-350,700,326,-374,169,0,320,5040
2003-01-15,8638,5790,196,0,-196,720,713,-7,166,0,330,6060
2003-01-16,7379,5920,580,0,-580,900,1030,130,165,20,390,7130
2003-01-17,6803,5920,925,0,-925,800,964,164,164,40,390,6520
2003-01-18,9178,6230,925,0,-925,1000,977,-23,164,40,380,6470
2003-01-19,7650,6480,934,150,-784,980,826,-154,165,30,420,5950
2003-01-20,6838,6500,1025,699,-326,950,1100,150,165,40,390,4620
2003-01-21,6539,6140,1000,678,-322,940,1060,120,279,40,430,5410
2003-01-22,5267,6100,1170,517,-653,790,927,137,299,60,420,5230
2003-01-23,5210,6180,1050,629,-421,770,1030,260,289,50,390,4000
2003-01-24,6300,5790,1050,604,-446,880,1010,130,234,40,395,3830
2003-01-25,7424,5500,963,617,-346,970,933,-37,234,60,445,4760
2003-01-26,7511,4980,898,584,-314,900,724,-176,243,50,475,5960
2003-01-27,7639,6000,841,646,-195,700,969,269,272,50,450,5910
2003-01-28,8441,6360,600,774,174,650,1070,420,274,40,560,5790
2003-01-29,6899,6740,530,913,383,890,1100,210,312,40,530,6350
2003-01-30,6293,6970,460,941,481,840,1110,270,284,70,530,5070
2003-01-31,7106,6780,540,861,321,940,1130,190,330,60,550,4460
2003-02-01,8031,6150,500,788,288,970,946,-24,315,60,550,5350
2003-02-02,8135,5540,404,593,189,890,777,-113,324,60,590,6360
2003-02-03,8858,6900,370,563,193,770,871,101,448,40,530,6570
2003-02-04,8513,7240,335,531,196,610,765,155,369,50,510,7220
2003-02-05,8804,7360,315,645,330,830,1120,290,326,70,490,6700
2003-02-06,6991,7240,450,640,190,900,1130,230,314,50,530,6710
2003-02-07,7002,6860,555,442,-113,1010,1100,90,436,20,470,5640
2003-02-08,7801,6210,400,341,-59,1000,1090,90,290,20,470,5520
2003-02-09,7968,6000,500,388,-112,1020,911,-109,327,20,480,6270
2003-02-10,6338,6870,581,511,-70,890,1090,200,312,70,540,6530
2003-02-11,6819,6820,425,623,198,710,1160,450,299,50,550,4410
2003-02-12,5011,6310,460,551,91,900,896,-4,294,50,580,5370
2003-02-13,3835,5610,590,182,-408,950,638,-312,354,60,570,4030
2003-02-14,3815,6140,530,99,-431,990,540,-450,254,30,520,3640
2003-02-15,6922,4780,617,98,-519,910,543,-367,236,50,520,3270
2003-02-16,6171,4770,750,127,-623,800,423,-377,178,40,470,5940
2003-02-17,6221,5120,650,150,-500,840,500,-340,185,30,491,5420
2003-02-18,5084,6320,560,176,-384,770,449,-321,182,50,480,5420
2003-02-19,5047,5930,440,154,-286,980,551,-429,213,50,470,3770
2003-02-20,7050,5850,550,197,-353,1000,586,-414,198,50,465,4280
2003-02-21,8419,6090,700,247,-453,1050,713,-337,177,40,480,6090
2003-02-22,8561,5680,700,366,-334,1050,679,-371,199,50,510,7060
2003-02-23,9204,5750,750,411,-339,1100,563,-537,205,50,460,7340
2003-02-24,7842,7510,756,520,-236,1150,746,-404,247,30,500,7570
2003-02-25,3377,7770,580,370,-210,1100,529,-571,229,30,470,6250
2003-02-26,2590,8230,575,238,-337,1050,405,-645,242,10,490,2880
2003-02-27,5009,6280,713,273,-440,830,480,-350,231,30,470,2060
2003-02-28,10007,5060,606,251,-355,8100,697,-7403,231,40,460,4430
2003-03-01,9172,5040,539,170,-369,860,686,-174,201,60,450,8390
2003-03-02,8812,5610,654,188,-466,960,642,-318,203,30,500,7590
2003-03-03,8817,7070,705,228,-477,1030,884,-146,201,50,480,7270
2003-03-04,8865,8330,630,348,-282,900,894,-6,198,30,500,7330
2003-03-05,9370,8290,730,612,-118,980,951,-29,230,50,480,7110
2003-03-06,10988,9270,815,718,-97,1050,1260,210,214,60,450,7140
2003-03-07,10979,9130,712,875,163,1150,1230,80,261,30,480,8770
2003-03-08,12955,8590,600,964,364,1180,1240,60,242,50,490,9810
2003-03-09,10922,8520,712,662,-50,990,977,-13,249,40,480,9770
2003-03-10,11995,10500,600,839,239,1000,1060,60,275,50,520,8360
2003-03-11,12955,10500,514,911,397,850,1030,180,335,50,490,11400
2003-03-12,8961,10500,550,802,252,830,1300,470,346,30,460,8890
2003-03-13,10536,10100,700,733,33,830,1220,390,342,50,550,6620
2003-03-14,14512,9550,720,749,29,960,1300,340,300,30,560,10100
2003-03-15,12977,9020,575,665,90,960,1210,250,300,50,555,12100
2003-03-16,9487,8860,690,359,-331,1090,816,-274,380,40,570,11100
2003-03-17,10023,10400,744,269,-475,1100,856,-244,319,70,530,8350
2003-03-18,9967,10000,820,392,-428,1040,1030,-10,245,80,480,8940
2003-03-19,11951,9210,750,516,-234,1000,1120,120,229,50,560,8430
2003-03-20,8459,9490,850,527,-323,1010,1260,250,230,30,540,9000
2003-03-21,11458,9530,900,718,-182,1090,1320,230,242,40,590,7700
